start_time,solar,onshore,offshore
2020-01-01T00,0.0,5.85025,1.16925
2020-01-01T01,0.0,5.7415,1.6655
2020-01-01T02,0.0,5.47825,2.06225
2020-01-01T03,0.0,5.51075,2.292
2020-01-01T04,0.0,5.64625,2.1595
2020-01-01T05,0.0,5.63,1.943
2020-01-01T06,0.0,5.3195,2.1545
2020-01-01T07,0.375,5.08675,2.28325
2020-01-01T08,3.1085000000000003,5.0985,2.34125
2020-01-01T09,6.772,4.88725,2.5465
2020-01-01T10,9.70925,4.66625,2.752
2020-01-01T11,11.06525,4.209,3.3635
2020-01-01T12,10.17675,4.28,3.6189999999999998
2020-01-01T13,7.02475,4.1385000000000005,3.32675
2020-01-01T14,2.536,4.3375,2.9675000000000002
2020-01-01T15,0.1225,5.53025,2.9850000000000003
2020-01-01T16,0.0,6.79375,3.7560000000000002
2020-01-01T17,0.0,7.986000000000001,4.4585
2020-01-01T18,0.0,8.9155,4.71025
2020-01-01T19,0.0,9.623750000000001,4.4052500000000006
2020-01-01T20,0.0,10.14625,4.023250000000001
2020-01-01T21,0.0,9.089749999999999,3.77
2020-01-01T22,0.0,8.597750000000001,3.82575
2020-01-01T23,0.0,8.1815,4.2295
2020-01-02T00,0.0,7.42375,4.62125
2020-01-02T01,0.0,6.98,5.022
2020-01-02T02,0.0,6.3595,5.20825
2020-01-02T03,0.0,6.24325,5.295
2020-01-02T04,0.0,6.915,5.1565
2020-01-02T05,0.0,7.817,5.396
2020-01-02T06,0.0,8.68125,5.404
2020-01-02T07,0.42974999999999997,8.80025,5.481
2020-01-02T08,3.142,8.935,5.925
2020-01-02T09,6.1315,8.726750000000001,6.087
2020-01-02T10,8.17325,7.81525,6.44225
2020-01-02T11,8.61125,7.06625,6.423
2020-01-02T12,7.2375,7.0752500000000005,6.4030000000000005
2020-01-02T13,4.56725,7.8035,6.50225
2020-01-02T14,1.40275,9.0715,6.46825
2020-01-02T15,0.052750000000000005,10.568999999999999,6.5192499999999995
2020-01-02T16,0.0,12.744,6.6072500000000005
2020-01-02T17,0.0,14.7735,6.7375
2020-01-02T18,0.0,15.98925,6.81375
2020-01-02T19,0.0,16.688499999999998,6.8825
2020-01-02T20,0.0,17.49875,6.91775
2020-01-02T21,0.0,17.95375,6.73325
2020-01-02T22,0.0,18.194,6.76825
2020-01-02T23,0.0,19.34275,6.7415
2020-01-03T00,0.0,20.629,6.76525
2020-01-03T01,0.0,21.48275,6.70575
2020-01-03T02,0.0,22.4665,6.6475
2020-01-03T03,0.0,23.74875,6.6355
2020-01-03T04,0.0,24.80925,6.62475
2020-01-03T05,0.0,26.40525,6.651249999999999
2020-01-03T06,0.0,27.15075,6.59775
2020-01-03T07,0.25525,27.46,6.436
2020-01-03T08,1.69325,27.417,5.98475
2020-01-03T09,3.13,27.913,5.47075
