"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2022 00:00 - 01.01.2022 00:15 (UTC)","0","5688","24850"
"Germany (DE)","01.01.2022 00:15 - 01.01.2022 00:30 (UTC)","0","5795","24604"
"Germany (DE)","01.01.2022 00:30 - 01.01.2022 00:45 (UTC)","0","5775","24177"
"Germany (DE)","01.01.2022 00:45 - 01.01.2022 01:00 (UTC)","0","5843","23491"
"Germany (DE)","01.01.2022 01:00 - 01.01.2022 01:15 (UTC)","0","5699","23528"
"Germany (DE)","01.01.2022 01:15 - 01.01.2022 01:30 (UTC)","0","5748","23138"
"Germany (DE)","01.01.2022 01:30 - 01.01.2022 01:45 (UTC)","0","5410","22947"
"Germany (DE)","01.01.2022 01:45 - 01.01.2022 02:00 (UTC)","0","5335","22843"
"Germany (DE)","01.01.2022 02:00 - 01.01.2022 02:15 (UTC)","0","5305","22536"
"Germany (DE)","01.01.2022 02:15 - 01.01.2022 02:30 (UTC)","0","5266","22260"
"Germany (DE)","01.01.2022 02:30 - 01.01.2022 02:45 (UTC)","0","5353","21727"
"Germany (DE)","01.01.2022 02:45 - 01.01.2022 03:00 (UTC)","0","5607","21470"
"Germany (DE)","01.01.2022 03:00 - 01.01.2022 03:15 (UTC)","0","5592","20825"
"Germany (DE)","01.01.2022 03:15 - 01.01.2022 03:30 (UTC)","0","5694","20821"
"Germany (DE)","01.01.2022 03:30 - 01.01.2022 03:45 (UTC)","0","5696","20188"
"Germany (DE)","01.01.2022 03:45 - 01.01.2022 04:00 (UTC)","0","5364","20146"
"Germany (DE)","01.01.2022 04:00 - 01.01.2022 04:15 (UTC)","0","5019","19757"
"Germany (DE)","01.01.2022 04:15 - 01.01.2022 04:30 (UTC)","0","4645","19538"
"Germany (DE)","01.01.2022 04:30 - 01.01.2022 04:45 (UTC)","0","4322","19356"
"Germany (DE)","01.01.2022 04:45 - 01.01.2022 05:00 (UTC)","0","4139","19327"
"Germany (DE)","01.01.2022 05:00 - 01.01.2022 05:15 (UTC)","0","4106","19563"
"Germany (DE)","01.01.2022 05:15 - 01.01.2022 05:30 (UTC)","0","4331","19280"
"Germany (DE)","01.01.2022 05:30 - 01.01.2022 05:45 (UTC)","0","4635","19112"
"Germany (DE)","01.01.2022 05:45 - 01.01.2022 06:00 (UTC)","0","4987","18747"
"Germany (DE)","01.01.2022 06:00 - 01.01.2022 06:15 (UTC)","0","5035","18400"
"Germany (DE)","01.01.2022 06:15 - 01.01.2022 06:30 (UTC)","0","4950","18011"
"Germany (DE)","01.01.2022 06:30 - 01.01.2022 06:45 (UTC)","0","4826","17729"
"Germany (DE)","01.01.2022 06:45 - 01.01.2022 07:00 (UTC)","2","4589","17684"
"Germany (DE)","01.01.2022 07:00 - 01.01.2022 07:15 (UTC)","5","4512","17068"
"Germany (DE)","01.01.2022 07:15 - 01.01.2022 07:30 (UTC)","62","4105","16765"
"Germany (DE)","01.01.2022 07:30 - 01.01.2022 07:45 (UTC)","301","3921","16479"
"Germany (DE)","01.01.2022 07:45 - 01.01.2022 08:00 (UTC)","663","4150","16231"
"Germany (DE)","01.01.2022 08:00 - 01.01.2022 08:15 (UTC)","1149","4261","16100"
"Germany (DE)","01.01.2022 08:15 - 01.01.2022 08:30 (UTC)","1703","4313","15851"
"Germany (DE)","01.01.2022 08:30 - 01.01.2022 08:45 (UTC)","2242","4253","15389"
"Germany (DE)","01.01.2022 08:45 - 01.01.2022 09:00 (UTC)","2814","4029","15211"
"Germany (DE)","01.01.2022 09:00 - 01.01.2022 09:15 (UTC)","3428","4036","14767"
"Germany (DE)","01.01.2022 09:15 - 01.01.2022 09:30 (UTC)","4081","4061","14142"
"Germany (DE)","01.01.2022 09:30 - 01.01.2022 09:45 (UTC)","4746","4129","13677"
"Germany (DE)","01.01.2022 09:45 - 01.01.2022 10:00 (UTC)","5376","3978","13261"
"Germany (DE)","01.01.2022 10:00 - 01.01.2022 10:15 (UTC)","5909","3923","12621"
"Germany (DE)","01.01.2022 10:15 - 01.01.2022 10:30 (UTC)","6449","4077","12332"
