Datum;Anfang;Ende;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2019;00:00;01:00;4.831,25;1.571,25;3.134;20.401,5;0;126;9.001,5;6.335;2.811,75;3.281,75;271,75;1.735,5
01.01.2019;01:00;02:00;4.824,5;1.568;2.868,25;22.384;0;126;8.535,25;5.379,5;2.404,25;2.975,25;21,5;1.692,75
01.01.2019;02:00;03:00;4.782,25;1.525,75;2.460,25;23.238,25;0;126;7.954;5.341;2.228,5;2.728;150,75;1.635,75
01.01.2019;03:00;04:00;4.766,25;1.509;2.696,5;24.530,75;0;126;7.221,75;5.270,75;2.356,75;2.660,75;0;1.626,25
01.01.2019;04:00;05:00;4.770,5;1.471,5;2.578;26.452;0;125;7.120;5.178,75;2.308,5;2.714;3,5;1.632,25
01.01.2019;05:00;06:00;4.768,75;1.398;2.377,25;27.934,25;0;125;7.060,75;5.076,5;2.311,25;2.727,75;2;1.638,25
01.01.2019;06:00;07:00;4.794,25;1.429,5;1.930;29.654,25;0;124,75;7.035,25;5.072,25;2.158,75;2.767,75;17,75;1.634,5
01.01.2019;07:00;08:00;4.822,75;1.445,75;2.045;30.349;0;125;7.173;5.038,25;2.182,25;2.877;33,5;1.629,5
01.01.2019;08:00;09:00;4.847,25;1.469,5;2.203,75;30.960,5;84,25;125;7.155,5;4.918,75;2.267,5;2.913,25;34,25;1.618,75
01.01.2019;09:00;10:00;4.843,75;1.507,25;2.075,5;30.902,25;583,25;125;6.990;4.928,25;2.642,25;2.919;34;1.630,25
01.01.2019;10:00;11:00;4.876,25;1.559;2.159;31.775;1.371;124,25;6.639,75;4.949;2.696,5;2.937,5;49,25;1.628,75
01.01.2019;11:00;12:00;4.868,75;1.596,75;2.723,5;33.127,5;2.059,5;124;6.708,5;4.918,75;2.761,25;3.027,25;50,25;1.630,5
01.01.2019;12:00;13:00;4.855,25;1.617,75;2.521,25;33.661,25;2.237,25;124,25;6.954,25;4.946,25;2.808,75;3.014;50,75;1.631,25
01.01.2019;13:00;14:00;4.833,5;1.588,75;2.287;34.399,5;2.010,25;124;6.952,75;4.953,75;2.811,5;2.929;232,5;1.630
01.01.2019;14:00;15:00;4.822;1.622;2.247,5;34.861,25;1.301,25;124;7.016,5;4.960,75;2.811,75;2.931,75;245,75;1.632
01.01.2019;15:00;16:00;4.797,25;1.576,5;2.124,25;34.767,75;447;124;7.270,5;5.017,5;2.832,25;2.939;1.737,75;1.628,5
01.01.2019;16:00;17:00;4.804,5;1.580,5;2.219,25;35.810,75;22;124;7.506,25;4.950,75;2.742;2.997,25;3.422;1.627
01.01.2019;17:00;18:00;4.806,75;1.467;2.270;36.337,25;0;124;7.654,25;4.972,25;2.756,75;2.990,75;3.590;1.626,75
01.01.2019;18:00;19:00;4.836;1.452,5;2.209,25;36.434,5;0;124;7.499;4.899;2.737;2.931,25;3.061,25;1.635,25
01.01.2019;19:00;20:00;4.820,25;1.439,5;2.176;36.117,25;0;124;7.099,5;4.907,75;2.748,75;2.918,5;1.477,75;1.633,25
01.01.2019;20:00;21:00;4.789,5;1.421;2.145,25;36.063,25;0;124;6.598,5;4.875;2.732;2.925,75;574,75;1.633,75
01.01.2019;21:00;22:00;4.781,5;1.409,5;1.848;35.968;0;124,75;6.151,75;4.895,25;2.760,75;2.836,75;273;1.632,5
01.01.2019;22:00;23:00;4.747;1.398,5;1.842,25;34.928,75;0;125;6.076,25;4.897,25;2.720,25;2.824,25;1.048;1.631,75
01.01.2019;23:00;00:00;4.738,25;1.359;1.769,5;34.893;0;125;5.984;4.886,5;2.566;2.784,25;36,25;1.625,25
